country,year,gdp_pc_usd
GBR,2013,2784853502534.29
GBR,2014,3064708247921.43
GBR,2015,2927911140916.73
GBR,2016,2689106566899.61
GBR,2017,2680148052335.3
GBR,2018,2871340347581.79
GBR,2019,2851407164907.81
GBR,2020,2696778386607.65
GBR,2021,3143323050707.26
GEO,2011,15475290469.2869
GEO,2012,16894392033.2256
GEO,2013,17517660143.6859
GEO,2014,17966015109.3043
GEO,2015,15223796148.8396
GEO,2016,15444548901.9637
GEO,2017,16473125375.0684
GEO,2018,17902544880.6471
GEO,2019,17638337116.9126
GEO,2020,16010869215.68
GEO,2021,18853115588.8106
GHA,2011,39336668080.559
GHA,2012,41271701060.954
GHA,2013,62824629066.0408
GHA,2014,54783319817.3705
GHA,2015,49406010054.2663
GHA,2016,56164929304.8754
GHA,2017,60405924078.7278
GHA,2018,67298914624.3723
GHA,2019,68337969247.7067
GHA,2020,70043099675.68
GHA,2021,79524421861.2743
GIB,2011,
GIB,2012,
GIB,2013,
GIB,2014,
GIB,2015,
GIB,2016,
GIB,2017,
GIB,2018,
GIB,2019,
GIB,2020,
GIB,2021,
GIN,2011,6785137203.33153
GIN,2012,7638044556.84656
GIN,2013,8376613539.28278
GIN,2014,8778473372.82124
GIN,2015,8794201742.84609
GIN,2016,8595955222.49719
GIN,2017,10324668271.1362
GIN,2018,11857030366.7891
GIN,2019,13442861496.4454
GIN,2020,14088693742.9464
GIN,2021,17069115737.8259
GMB,2011,1409693596.93594
GMB,2012,1415004738.26621
GMB,2013,1375609453.43746
GMB,2014,1229461721.40861
GMB,2015,1378176608.93204
GMB,2016,1484578885.97132
GMB,2017,1504909462.69521
GMB,2018,1670671327.81651
GMB,2019,1813609692.49994
GMB,2020,1812170891.19069
GMB,2021,2014158842.14596
GNB,2011,1157074319.19388
GNB,2012,1049412177.11413
GNB,2013,1109682824.13594
GNB,2014,1135250721.0374
GNB,2015,1152384166.79638
GNB,2016,1245074264.10396
GNB,2017,1469978606.12143
GNB,2018,1554133593.91699
GNB,2019,1588638853.59328
GNB,2020,1646400349.84867
GNB,2021,1853796455.89489
GNQ,2011,21357343668.9447
GNQ,2012,22388344143.9131
GNQ,2013,21948834283.7856
GNQ,2014,21765453081.9826
GNQ,2015,13185496881.0174
GNQ,2016,11240808847.8878
GNQ,2017,12200913878.9827
GNQ,2018,13097012133.6159
GNQ,2019,11364133549.7478
GNQ,2020,9893816007.7398
GNQ,2021,12215878032.7166
GRC,2011,283228079776.041
GRC,2012,238841140018.233
GRC,2013,236556279640.705
GRC,2014,233911581521.062
GRC,2015,194567373678.099
GRC,2016,193097239005.87
GRC,2017,200381103984.298
GRC,2018,213298873494.394
GRC,2019,207305649887.019
GRC,2020,191362985554.861
GRC,2021,218303801895.326
GRD,2011,778655555.555555
GRD,2012,799881481.481481
GRD,2013,842618518.518518
GRD,2014,911496296.296296
GRD,2015,997007407.407407
GRD,2016,1061640740.74074
GRD,2017,1125685185.18519
GRD,2018,1166514814.81481
GRD,2019,1213485185.18519
GRD,2020,1043411111.11111
GRD,2021,1122800000.0
GRL,2011,2684461375.46585
GRL,2012,2609678486.36749
GRL,2013,2684946990.12448
GRL,2014,2842065708.35962
GRL,2015,2499113022.81675
GRL,2016,2707139544.46695
GRL,2017,2851613679.03433
GRL,2018,3055782146.15957
GRL,2019,2997309971.87623
GRL,2020,3082884653.2456
GRL,2021,3235809504.29871
GTM,2011,46876006272.2387
GTM,2012,49593929487.1263
GTM,2013,52996446269.442
GTM,2014,57852153058.502
GTM,2015,62186064718.7424
GTM,2016,66053403469.0024
GTM,2017,71653754066.2763
GTM,2018,73328365862.4329
GTM,2019,77172317258.6478
GTM,2020,77719464220.73
GTM,2021,86478835636.3813
GUM,2011,4984000000.0
GUM,2012,5265000000.0
GUM,2013,5399000000.0
GUM,2014,5610000000.0
GUM,2015,5799000000.0
GUM,2016,5901000000.0
GUM,2017,6013000000.0
GUM,2018,6051000000.0
GUM,2019,6355000000.0
GUM,2020,5916000000.0
GUM,2021,6234000000.0
GUY,2011,3691384317.52178
GUY,2012,4063088535.76331
GUY,2013,4167800928.83553
GUY,2014,4127660151.8087
GUY,2015,4279840193.7046
GUY,2016,4482697336.56174
GUY,2017,4748174334.14044
GUY,2018,4787636997.85343
GUY,2019,5173760191.84652
GUY,2020,5471256594.72422
GUY,2021,8041363893.04556
HKG,2011,248513617677.287
HKG,2012,262628865879.697
HKG,2013,275696879834.966
HKG,2014,291459995978.893
HKG,2015,309385622601.348
HKG,2016,320860317562.562
