country,year,resource_rents_pct_gdp
MAF,2014,20638.7705882379
MAF,2015,
MAF,2016,
MAF,2017,
MAF,2018,
MAF,2019,19033.0649634889
MAF,2020,
MAF,2021,21668.3776525323
MAR,2011,3301.98876953125
MAR,2012,3164.17724609375
MAR,2013,3379.7431640625
MAR,2014,3435.40698242188
MAR,2015,3146.24780273438
MAR,2016,3140.85546875
MAR,2017,3296.52661132813
MAR,2018,3501.69799804688
MAR,2019,3508.09765625
MAR,2020,3268.0302734375
MAR,2021,3785.93627929688
MCO,2011,179363.984221513
MCO,2012,165444.651378771
MCO,2013,184940.663804718
MCO,2014,195693.570738894
MCO,2015,170437.101188261
MCO,2016,173604.753555915
MCO,2017,170663.375247872
MCO,2018,188298.315668437
MCO,2019,193746.785647412
MCO,2020,176891.886538492
MCO,2021,223823.363960226
MDA,2011,2941.36224066021
MDA,2012,3044.8084324815
MDA,2013,3321.04397795719
MDA,2014,3289.95758568777
MDA,2015,2749.55137054338
MDA,2016,2847.08794770479
MDA,2017,3453.26727720294
MDA,2018,4156.44981956646
MDA,2019,4405.33418162155
MDA,2020,4375.7788930524
MDA,2021,5274.60582195352
MDG,2011,506.163691559309
MDG,2012,493.511162904211
MDG,2013,515.301589361832
MDG,2014,505.684922503435
MDG,2015,445.320069480568
MDG,2016,453.970714522463
MDG,2017,491.866848718929
MDG,2018,500.45718552916
MDG,2019,499.818837622534
MDG,2020,450.771615201509
MDG,2021,490.206238571448
MDV,2011,7424.520410971
MDV,2012,7461.29703686309
MDV,2013,8236.08177944126
MDV,2014,8939.07416571472
MDV,2015,9644.90655028145
MDV,2016,9947.80744731739
MDV,2017,10509.628805812
MDV,2018,11423.2838427029
MDV,2019,11740.2724029785
MDV,2020,7393.8886543933
MDV,2021,10176.143882547
MEX,2011,10664.4944032313
MEX,2012,10744.1335242686
MEX,2013,11216.8008505428
MEX,2014,11391.3773497683
MEX,2015,10021.2386118827
MEX,2016,9097.92397674769
MEX,2017,9649.27816772402
MEX,2018,10084.7937562021
MEX,2019,10369.5553568761
MEX,2020,8841.27075003163
MEX,2021,10314.0506741437
MHL,2011,3319.39815439151
MHL,2012,3514.26515490383
MHL,2013,3677.90690791421
MHL,2014,3735.23977829545
MHL,2015,3764.34426229508
MHL,2016,4229.80988911945
MHL,2017,4592.83457628576
MHL,2018,4858.12079054875
MHL,2019,5292.33985502306
MHL,2020,5661.96787336674
MHL,2021,6258.61193705127
MKD,2011,5416.86672931659
MKD,2012,5049.8265386157
MKD,2013,5626.26115664893
MKD,2014,5925.38592218015
MKD,2015,5262.68671928674
MKD,2016,5598.48622617967
MKD,2017,5955.2973863451
MKD,2018,6713.98925398989
MKD,2019,6718.85826635458
MKD,2020,6659.59651070776
MKD,2021,7620.80296977508
MLI,2011,789.06272549554
MLI,2012,733.738935290444
MLI,2013,758.475532598732
MLI,2014,797.154510755732
MLI,2015,704.821646439506
MLI,2016,730.85493818079
MLI,2017,775.536492065709
MLI,2018,835.086710561793
MLI,2019,820.197390833912
MLI,2020,804.343956745857
MLI,2021,862.467400106111
MLT,2011,23516.9691249323
MLT,2012,22878.313086001
MLT,2013,25346.5236450477
MLT,2014,27356.6080303021
MLT,2015,25481.8977555627
MLT,2016,26409.6285858968
MLT,2017,30259.3952629768
MLT,2018,33332.1905601302
MLT,2019,32412.2697818499
MLT,2020,31796.8213417258
MLT,2021,38027.3801730893
MMR,2011,1213.62898703376
MMR,2012,1202.6658960055
MMR,2013,1199.09561597055
MMR,2014,1293.00042298704
MMR,2015,1166.73305546288
MMR,2016,1229.19713515893
MMR,2017,1272.82241830603
MMR,2018,1298.21310320785
MMR,2019,1425.98954211903
MMR,2020,1490.21683548367
MMR,2021,1242.72134419599
MNE,2011,7328.78943085498
MNE,2012,6586.39970256684
MNE,2013,7188.86361611271
MNE,2014,7387.87296917548
MNE,2015,6517.19267514764
MNE,2016,7033.43962398373
MNE,2017,7803.35824465203
MNE,2018,8850.3749248372
MNE,2019,8909.6538759126
MNE,2020,7677.37132106817
MNE,2021,9465.96153027794
MNG,2011,3736.04201455077
MNG,2012,4328.89001905655
MNG,2013,4340.14310544449
MNG,2014,4126.23975800524
MNG,2015,3838.92126989984
MNG,2016,3619.90026383792
MNG,2017,3645.96708669551
MNG,2018,4107.64288528468
MNG,2019,4347.54610314873
MNG,2020,4001.25193077703
MNG,2021,4517.61578018785
MNP,2011,13598.7166094613
MNP,2012,14013.6003306158
MNP,2013,14632.8518897608
MNP,2014,15945.417608954
MNP,2015,17665.1007493109
MNP,2016,24225.474169342
MNP,2017,31225.6049960968
MNP,2018,26509.3628379893
MNP,2019,24496.6652122421
MNP,2020,18220.8382427201
MNP,2021,19455.50139424
MOZ,2011,618.17649286789
MOZ,2012,685.685748199513
MOZ,2013,686.505672517351
MOZ,2014,697.142680444123
MOZ,2015,610.563774706589
MOZ,2016,441.489734819071
MOZ,2017,470.93856305196
MOZ,2018,517.507260258101
MOZ,2019,519.09255091362
MOZ,2020,462.433876479921
MOZ,2021,509.907829475551
MRT,2011,1931.19975525465
MRT,2012,1859.11733247641
MRT,2013,1934.24103064714
MRT,2014,1713.00865264234
MRT,2015,1554.94897871782
MRT,2016,1565.76575722696
MRT,2017,1615.00401327323
MRT,2018,1722.93528854073
MRT,2019,1767.072710621
MRT,2020,1795.76459566714
MRT,2021,1947.78918383313
MUS,2011,9197.04299089459
MUS,2012,9291.23627601053
MUS,2013,9764.64413060045
MUS,2014,10366.3550754936
MUS,2015,9507.87133656424
MUS,2016,9965.72531085228
MUS,2017,10841.6847754844
MUS,2018,11643.4605962124
MUS,2019,11403.2527870674
MUS,2020,9011.04288445023
MUS,2021,9068.97300226707
MWI,2011,763.061000394572
MWI,2012,558.46208832772
MWI,2013,496.947368267313
MWI,2014,529.5133440206
MWI,2015,539.605363240686
MWI,2016,450.506105510719
MWI,2017,495.769683367165
MWI,2018,533.203173686705
MWI,2019,580.889816066776
MWI,2020,602.507478176106
MWI,2021,617.447520802454
MYS,2011,10217.1068585031
MYS,2012,10600.5744240026
MYS,2013,10713.6407638899
MYS,2014,11013.3107334403
MYS,2015,9648.6797937523
MYS,2016,9476.53409809923
MYS,2017,9862.54806612235
MYS,2018,10901.8019954421
MYS,2019,10920.191763972
MYS,2020,9957.52626697613
MYS,2021,10903.1116425938
NAM,2011,5834.7917675794
NAM,2012,5942.64680978673
NAM,2013,5346.62131149967
NAM,2014,5378.32326241205
NAM,2015,4774.10650865775
NAM,2016,4395.68776162376
NAM,2017,5143.96072323076
NAM,2018,5308.60813408705
NAM,2019,4731.9210318831
NAM,2020,3878.58982993966
