country,year,age1564_pct
MYS,2015,68.4748204191443
MYS,2016,68.6181245800623
MYS,2017,68.7308114044831
MYS,2018,68.8574738627401
MYS,2019,69.0435656266947
MYS,2020,69.314063209174
MYS,2021,69.6481154899357
NAM,2011,59.8546119529894
NAM,2012,59.8704169313249
NAM,2013,59.8920536335617
NAM,2014,59.9350774185889
NAM,2015,59.9581897734469
NAM,2016,59.9115575392555
NAM,2017,59.7812875346101
NAM,2018,59.6109379234645
NAM,2019,59.4533208803112
NAM,2020,59.2853021416492
NAM,2021,59.0999440500472
NCL,2011,66.6764212086253
NCL,2012,66.7963759926077
NCL,2013,66.8687821054685
NCL,2014,66.9189562075851
NCL,2015,67.0022742682789
NCL,2016,67.1305786756897
NCL,2017,67.2546958870871
NCL,2018,67.3595705735679
NCL,2019,67.4121845094956
NCL,2020,67.4425928956124
NCL,2021,67.4616253059106
NER,2011,48.1350185019658
NER,2012,48.127986404713
NER,2013,48.1725183321064
NER,2014,48.241566402089
NER,2015,48.3639658330415
NER,2016,48.52866249228
NER,2017,48.711024050747
NER,2018,48.9209628832505
NER,2019,49.1669828740346
NER,2020,49.4543791262978
NER,2021,49.7819108861512
NGA,2011,52.534972840043
NGA,2012,52.5270788696892
NGA,2013,52.549360231945
NGA,2014,52.6058463638302
NGA,2015,52.709081986385
NGA,2016,52.8926220185148
NGA,2017,53.1559836470855
NGA,2018,53.4598457316183
NGA,2019,53.7983137946911
NGA,2020,54.1929528639579
NGA,2021,54.6149618714835
NIC,2011,61.8022766942582
NIC,2012,62.1920067768274
NIC,2013,62.5413060115449
NIC,2014,62.846399768301
NIC,2015,63.1222358152
NIC,2016,63.3800979693199
NIC,2017,63.6177363036804
NIC,2018,63.8501706228672
NIC,2019,64.0979157287315
NIC,2020,64.4168622540409
NIC,2021,64.7815844138997
NLD,2011,66.8305287911613
NLD,2012,66.3807718191341
NLD,2013,66.0375664309138
NLD,2014,65.7829993073729
NLD,2015,65.6050618465085
NLD,2016,65.4890558058781
NLD,2017,65.3662757423029
NLD,2018,65.248775211947
NLD,2019,65.1412740704822
NLD,2020,65.0100463629003
NLD,2021,64.8512129916232
NOR,2011,66.127471447423
NOR,2012,66.0309866129184
NOR,2013,65.9319176134364
NOR,2014,65.8376180924379
NOR,2015,65.744297773447
NOR,2016,65.6098291381007
NOR,2017,65.4370047012372
NOR,2018,65.2758388121435
NOR,2019,65.167513583566
NOR,2020,65.0607837656888
NOR,2021,64.9374857909645
NPL,2011,59.8406764748697
NPL,2012,60.2828354472857
NPL,2013,60.6470656972912
NPL,2014,61.0228245904277
NPL,2015,61.4713594693201
NPL,2016,61.8722917188777
NPL,2017,62.1528886706909
NPL,2018,62.4301946506601
NPL,2019,63.0119007793447
NPL,2020,63.8354856215394
NPL,2021,64.5282088114644
NRU,2011,61.6489230007428
NRU,2012,61.0158761079186
NRU,2013,60.6779499857374
NRU,2014,60.4561321852455
NRU,2015,60.2610918385978
NRU,2016,60.1793721973094
NRU,2017,60.2481455316143
NRU,2018,60.4530603354389
NRU,2019,60.365064296194
NRU,2020,59.8900626986172
NRU,2021,59.5037793056326
NZL,2011,65.9465094637427
NZL,2012,65.6846552552074
NZL,2013,65.4865980024927
NZL,2014,65.4645838819204
NZL,2015,65.5662654049205
NZL,2016,65.6566173959705
NZL,2017,65.6780741744094
NZL,2018,65.6292575548676
NZL,2019,65.5322656370177
NZL,2020,65.3602688024111
NZL,2021,65.0927086211955
OMN,2011,71.8894175469479
OMN,2012,74.6218289814047
OMN,2013,75.4747695109409
OMN,2014,75.2940269670568
OMN,2015,75.1763425366706
OMN,2016,75.3182592773313
OMN,2017,75.1697476735833
OMN,2018,74.534173648602
OMN,2019,73.4038901464767
OMN,2020,71.8368051805015
OMN,2021,70.6732743403733
PAK,2011,57.1395797438826
PAK,2012,57.2279328209218
PAK,2013,57.2671270798072
PAK,2014,57.331028476506
PAK,2015,57.4178688790589
PAK,2016,57.4997238618041
PAK,2017,57.611377824421
PAK,2018,57.7692684064018
PAK,2019,57.9268695957871
PAK,2020,58.1175150077395
PAK,2021,58.362142214514
PAN,2011,64.6143114215781
PAN,2012,64.6899366111189
PAN,2013,64.7636759134082
PAN,2014,64.8298521582369
PAN,2015,64.8908740567791
PAN,2016,64.9564237451839
PAN,2017,65.0242015347767
PAN,2018,65.0938653057126
PAN,2019,65.1881520310586
PAN,2020,65.316702152513
PAN,2021,65.4480767615447
