country,year,gdp_pc_usd,manufacturing_pct_gdp,resource_rents_pct_gdp,tertiary_enrolment_pct,gii_score,population_density,age1564_pct,log_gdp
SWE,2017,536083940228.684,13.3346803677229,53300.8587281785,70.4342498779297,63.82,24.6929419766692,62.5219734831306,27.007556590660208
SWE,2018,551312498430.164,13.3725935846173,54181.9069780904,73.4083786010742,63.08,24.9814588688378,62.3768470334521,27.035567633117946
SWE,2019,532169294165.94,13.1358594902138,51773.0464558993,75.1148529052734,63.65,25.2378879395011,62.2726593946469,27.000227497782564
SWE,2020,545147614972.141,12.6405652444603,52653.7565934247,79.1196365356445,62.47,25.4209438224317,62.2041144475448,27.02432244809545
SWE,2021,637186904843.636,13.4735170569286,61174.9680215622,85.9426193237305,63.1,25.5740792575133,62.1530987776028,27.180328863678277
SWZ,2011,4820478680.18375,31.6891802476489,4312.34243414155,6.76452016830444,27.52,64.9902906976744,58.5969645747779,22.296139071319327
SWZ,2012,4886551483.93374,31.0190126503485,4347.99569336631,6.4705600738525355,32.0,65.3408720930233,58.8848200871369,22.30975267364054
SWZ,2013,4418333192.47449,28.8990583014034,3910.0639762073,6.17659997940063,29.6,65.6970930232558,59.1550367702369,22.209028356138752
SWZ,2014,4250545460.94523,29.3688253741092,3740.69277623691,6.4705600738525355,25.33,66.0638953488372,59.4682385534089,22.1703131553992
SWZ,2015,3878174403.5524,30.5674052347362,3393.53367834668,6.4705600738525355,25.37,66.4426162790698,59.8218430407438,22.078630365306537
SYC,2014,1387577870.08161,7.26865319905086,15188.1902175113,7.24571990966797,38.56,198.60652173913,71.3810681814924,21.050825524591392
SYC,2015,1432403352.12944,5.85840609143849,15333.1051727105,16.4337902069092,36.44,203.084782608696,71.5689245963098,21.082619536304634
TGO,2012,5413544658.41535,11.9565612510716,762.392047587088,10.9630603790283,20.5,130.55223386652,55.5980957466944,22.412169920134485
TGO,2013,6021732977.26584,14.5480609279658,826.543259457126,11.0933198928833,23.04,133.948189005332,55.6021652495483,22.518640924818243
